Brand,Account Type,Customer Num & Company,Area,Chain,Company & Address,City,Product Num & Name,Package,"Address, City, State & Zip",License Type,Container Type,Appellation,Company,Location,Year Weeks,Instagram Handle,Notes about account,Notes & Description,Cases,Full Price
FAB 100,Sale,1008 Arcadia Pizza (Lpb Enterprise),Sales RI,Independent,"Arcadia Pizza (Lpb Enterprise), 780 victory highway unit 10, West Greenwich, RI 02817",West Greenwich,8740 FAB 100 Strawberry Milkshake IPA 6/4/16,6/4 pack/16 Can,"780 victory highway unit 10, West Greenwich, RI 02817",Is Null,Aluminum Can,Is Null,Arcadia Pizza (Lpb Enterprise),Rhode Island,2020 16,Is Null,Is Null,NE IPA w/ strawberries/raspberries. 7.5%,1.00,$81.00
FAB 100,Sale,1014 Littleton's One Stop Liquors,Sales MA,One Stop Liquors,"Littleton's One Stop Liquors, 340 Constitution Ave, Littleton, MA 01460",Littleton,8740 FAB 100 Strawberry Milkshake IPA 6/4/16,6/4 pack/16 Can,"340 Constitution Ave, Littleton, MA 01460",Is Null,Aluminum Can,Is Null,Littleton's One Stop Liquors,Massachusetts,2020 17,Is Null,Is Null,NE IPA w/ strawberries/raspberries. 7.5%,5.00,$405.00
FAB 100,Sale,1039 Yankee Spirits - Norwood,Sales MA,Yankee Spirits,"Yankee Spirits - Norwood, 942 Boston Providence Turnpike, Norwood, MA 02062",Norwood,8740 FAB 100 Strawberry Milkshake IPA 6/4/16,6/4 pack/16 Can,"942 Boston Providence Turnpike, Norwood, MA 02062",Is Null,Aluminum Can,Is Null,Yankee Spirits - Norwood,Massachusetts,2020 16,Is Null,Is Null,NE IPA w/ strawberries/raspberries. 7.5%,2.00,$162.00
FAB 100,Sale,1042 Yankee Spirits - Swansea,Sales MA,Yankee Spirits,"Yankee Spirits - Swansea, 207 Swansea Mall Drive, Swansea, MA 02777",Swansea,8740 FAB 100 Strawberry Milkshake IPA 6/4/16,6/4 pack/16 Can,"207 Swansea Mall Drive, Swansea, MA 02777",Is Null,Aluminum Can,Is Null,Yankee Spirits - Swansea,Massachusetts,2020 16,Is Null,Is Null,NE IPA w/ strawberries/raspberries. 7.5%,2.00,$162.00
FAB 100,Sale,1045 Barry's Fine Wine,Sales MA,Independent,"Barry's Fine Wine, 573 Mill St, New Bedford, MA 02740",New Bedford,8740 FAB 100 Strawberry Milkshake IPA 6/4/16,6/4 pack/16 Can,"573 Mill St, New Bedford, MA 02740",Is Null,Aluminum Can,Is Null,Barry's Fine Wine,Massachusetts,2020 17,Is Null,Is Null,NE IPA w/ strawberries/raspberries. 7.5%,2.00,$162.00
FAB 100,Sale,1046 O'Neil's Package Store,Sales RI,Independent,"O'Neil's Package Store, 366 South Pier Rd, Narragansett, RI 02882",Narragansett,8740 FAB 100 Strawberry Milkshake IPA 6/4/16,6/4 pack/16 Can,"366 South Pier Rd, Narragansett, RI 02882",Is Null,Aluminum Can,Is Null,O'Neil's Package Store,Rhode Island,2020 17,Is Null,Is Null,NE IPA w/ strawberries/raspberries. 7.5%,1.00,$81.00
FAB 100,Sale,1051 Amesbury Wine & Spirits,Sales MA Seaboard,Leary's Fine Wines,"Amesbury Wine & Spirits, 100 MACY ST, Amesbury, MA 01913",Amesbury,8740 FAB 100 Strawberry Milkshake IPA 6/4/16,6/4 pack/16 Can,"100 MACY ST, Amesbury, MA 01913",Is Null,Aluminum Can,Is Null,Amesbury Wine & Spirits,Massachusetts,2020 16,Is Null,Slowly changing the craft section,NE IPA w/ strawberries/raspberries. 7.5%,1.00,$81.00
FAB 100,Sale,1053 Brimfield Market,Sales Western MA,Patel Group,"Brimfield Market, 13 Main St, Brimfield, MA 01010",Brimfield,8740 FAB 100 Strawberry Milkshake IPA 6/4/16,6/4 pack/16 Can,"13 Main St, Brimfield, MA 01010",Is Null,Aluminum Can,Is Null,Brimfield Market,Massachusetts,2020 16,Is Null,Is Null,NE IPA w/ strawberries/raspberries. 7.5%,2.00,$162.00
FAB 100,Sale,1059 Jessy's Liquors,Sales MA LKnife Territory,Independent,"Jessy's Liquors, 387 West Center St, West Bridgewater, MA 02379",West Bridgewater,8740 FAB 100 Strawberry Milkshake IPA 6/4/16,6/4 pack/16 Can,"387 West Center St, West Bridgewater, MA 02379",Is Null,Aluminum Can,Is Null,Jessy's Liquors,Massachusetts,2020 17,Is Null,Is Null,NE IPA w/ strawberries/raspberries. 7.5%,1.00,$81.00
FAB 100,Sale,109 Yankee Spirits - Attleboro,Sales MA,Yankee Spirits,"Yankee Spirits - Attleboro, 628 Washington St., Attleboro, MA 02703",Attleboro,8740 FAB 100 Strawberry Milkshake IPA 6/4/16,6/4 pack/16 Can,"628 Washington St., Attleboro, MA 02703",Is Null,Aluminum Can,Is Null,Yankee Spirits - Attleboro,Massachusetts,2020 16,Is Null,Is Null,NE IPA w/ strawberries/raspberries. 7.5%,2.00,$162.00
